Id,car_ordinal,Height,Length,Width,Wheelbase,ModelFrontTrackOuter,ModelRearTrackOuter,BottomCenterWheelbasePosx,BottomCenterWheelbasePosy,BottomCenterWheelbasePosZ,PristineBoundingBoxMinZ,PristineBoundingBoxMaxZ
325000,325,1.115,4.47,2.04,2.65,1.77482,1.9752,0.000255,0.082,0.025,-2.226932,2.337069
326000,326,1.135,4.235,1.7,2.34,1.6,1.59242,0.0,0.0,0.0,-2.175026,2.158542
327000,327,1.295,4.374,1.735,2.51,1.695869,1.695862,3.0e-06,0.0,0.040522,-2.32396,2.248684
333000,333,1.147,4.702,2.035,2.65,1.907911,1.993,0.0,0.0,0.0,-2.393449,2.415755
336000,336,1.222,4.445,1.656,2.438,1.491319,1.491319,0.0,-0.045,-0.081963,-2.224548,2.225201
338000,338,1.2,4.928,1.92,2.718,1.888,1.96115,0.0,0.035,0.264072,-2.506388,2.578673
340000,340,1.124,4.358,1.97,2.45,1.84225,1.96255,0.0,0.05,0.06,-2.198526,2.270879
342000,342,1.12,4.48,1.986,2.58,1.909656,2.014037,-0.00017,0.0,0.109722,-2.324977,2.292474
343000,343,1.29,4.136,1.63,2.305,1.54477,1.58077,0.0,0.0,0.073263,-2.183363,1.967815
344000,344,1.315,4.31,1.815,2.65,1.73716,1.75051,-0.002422,0.0,-0.027325,-2.250049,2.30275
345000,345,1.245,4.305,1.79,2.45,1.75413,1.736,2.0e-06,0.0,-0.011571,-2.226391,2.230058
348000,348,1.125,4.643,1.953,2.71,1.834098,1.909605,0.0,0.0,0.115792,-2.445654,2.329215
353000,353,1.415,3.985,1.664,2.475,1.62584,1.64146,0.000464,0.0,0.047885,-2.06863,2.054298
357000,357,1.285,4.59,1.84,2.47,1.799984,1.80015,-3.8e-05,0.0,-0.014606,-2.365283,2.3717
358000,358,1.15,4.225,1.85,2.45,1.7185,1.882395,0.0,0.0,0.090268,-2.187449,2.162874
363000,363,1.39,4.365,1.77,2.52,1.701,1.70112,0.0,0.0,0.0,-2.32432,2.275746
364000,364,1.425,4.415,1.74,2.525,1.717008,1.717011,0.0,0.0,0.001645,-2.227984,2.304163
365000,365,1.425,4.465,1.74,2.54,1.743701,1.748468,-0.00174,0.0,-0.017414,-2.340037,2.384031
368000,368,1.275,4.38,1.71,2.57,1.675,1.675,-5.0e-06,0.0,-0.012,-2.27113,2.340295
374000,374,1.45,4.49,1.77,2.625,1.66871,1.685867,7.6e-05,0.0,-0.02,-2.28923,2.399704
378000,378,1.45,4.49,1.77,2.625,1.69,1.7,7.6e-05,0.0,-0.02,-2.421488,2.350051
379000,379,1.425,4.635,1.73,2.67,1.720842,1.715842,0.0,0.0,0.0,-2.466946,2.438256
382000,382,1.336,4.433,1.709,2.7,1.654726,1.6588,1.1e-05,0.0,-0.102792,-2.213411,2.266699
383000,383,1.371,4.493,1.78,2.73,1.745627,1.7236,-0.001094,0.0,-0.109312,-2.309543,2.335193
391000,391,1.205,5.143,2.1,2.8,1.918508,2.002325,0.0,0.0,0.082664,-2.686595,2.667633
398000,398,1.24,4.14,1.7,2.4,1.695723,1.675723,0.0,0.0,-0.027485,-2.099128,2.163629
405000,405,1.326,4.661,1.857,2.573,1.755252,1.786201,0.0,0.0,0.0,-2.449806,2.468361
411000,411,1.16,4.43,1.81,2.53,1.737,1.805655,-0.00033,0.0,0.002448,-2.261362,2.322958
412000,412,1.17,4.43,1.81,2.53,1.794322,1.833761,0.0,0.0,0.0,-2.240824,2.283539
417000,417,1.387,5.095,1.918,2.746,1.780323,1.778341,0.0,0.0,-0.060527,-2.626909,2.570877
419000,419,1.415,4.586,1.816,2.648,1.817625,1.817626,0.001492,0.0,-0.031998,-2.419961,2.410198
420000,420,1.425,4.859,1.849,2.758,1.811208,1.82113,0.0,0.0,0.0,-2.479429,2.500221
422000,422,1.4,4.374,1.725,2.57,1.69171,1.691712,0.0,0.0,-0.000412,-2.271426,2.268964
423000,423,1.264,4.315,1.689,2.43,1.653531,1.62531,0.0,0.0,0.0,-2.249123,2.239986
427000,427,1.285,4.135,1.75,2.4,1.646,1.72,0.0,0.0,0.01,-2.239446,2.10017
433000,433,1.175,4.057,1.85,2.361,1.839934,1.838637,5.4e-05,0.065,-0.006455,-2.066729,2.150586
440000,440,1.295,4.52,1.73,2.525,1.69,1.68,0.0,0.0,0.005,-2.32007,2.324841
455000,455,1.335,4.285,1.625,2.4,1.57026,1.58816,0.002104,0.0,-0.059995,-2.159271,2.189209
458000,458,1.114,3.71,1.75,2.18,1.6,1.662,0.003265,0.0,0.085696,-1.94584,1.8691
460000,460,1.3,4.62,1.745,2.595,1.708812,1.700812,0.0,0.0,0.0,-2.433033,2.409807
461000,461,1.275,4.52,1.81,2.55,1.76,1.78,0.0,0.0,-0.028355,-2.424824,2.3812
483000,483,1.194,4.488,1.923,2.443,1.775669,1.85,0.0,0.0,-0.047,-2.317517,2.324706
489000,489,1.15,4.93,2.0,2.64,2.00856,1.96869,0.0,0.0,0.0,-2.526565,2.601137
513000,513,1.351,5.283,1.946,2.972,1.82238,1.82238,0.0,0.0,-0.189749,-2.471396,2.452663
567000,567,1.14,4.719,1.999,2.72,1.97554,1.98315,0.0,0.0,0.0,-2.500537,2.34638
568000,568,1.164,4.855,1.95,2.67,1.96573,1.925377,0.0,0.0,0.0,-2.568969,2.55163
569000,569,1.16,4.61,1.9,2.53,1.727,1.78,-0.00033,0.0,0.002448,-2.326663,2.346968
615000,615,1.376,4.03,1.8,2.56,1.773975,1.771975,0.0,0.0,0.0,-2.047088,2.089551
625000,625,1.445,4.285,1.785,2.635,1.749643,1.748237,0.000433,0.0,0.052177,-2.264658,2.228467
633000,633,1.344,4.161,1.781,2.223,1.728785,1.728785,0.0,0.0,0.001606,-2.164307,2.137445
634000,634,1.323,3.664,1.752,2.43,1.550888,1.727984,0.0,0.0,-0.01664,-1.900984,1.938937
637000,637,1.05,4.37,1.76,2.504,1.65711,1.65711,0.0,0.0,0.039,-2.191451,2.184996
639000,639,1.293,4.859,1.933,2.794,1.756495,1.728495,0.0,0.0,0.0,-2.443881,2.443878
641000,641,1.173,4.724,1.98,2.87,1.930811,1.864485,0.0,0.0,0.0,-2.42465,2.452465
1006000,1006,1.147,4.831,2.035,2.65,1.9,1.95,0.0,0.0,-0.005,-2.460442,2.345309
1007000,1007,1.03,4.293,1.996,2.66,1.961486,2.0,0.0,0.0,0.0,-2.164573,2.15568
1009000,1009,1.48,4.495,1.81,2.65,1.799572,1.799094,-0.000239,0.0,-0.0117,-2.31826,2.347852
1011000,1011,1.418,4.615,1.817,2.761,1.758456,1.774134,0.0,0.0,-0.118672,-2.306468,2.429156
1020000,1020,1.092,4.578,1.986,2.58,1.9371,1.94513,0.0,0.0,0.0,-2.252705,2.278069
1022000,1022,1.199,4.512,1.923,2.6,1.853589,1.927074,0.00016,0.0,0.070001,-2.227269,2.403902
1023000,1023,1.15,4.535,1.98,2.45,1.855072,1.923322,0.0,0.0,0.0,-2.229619,2.256931
1032000,1032,1.341,4.379,1.895,2.654,1.901814,1.894423,0.000758,0.0,0.0,-2.209913,2.381343
1034000,1034,1.305,4.42,1.75,2.535,1.7325,1.7297,0.0,0.0,0.047743,-2.243659,2.340767
1040000,1040,1.14,4.346,1.823,2.56,1.777853,1.825404,4.6e-05,0.0,0.098403,-2.18137,2.258656
1041000,1041,1.323,4.562,1.735,2.553,1.65023,1.66023,0.0,0.0,0.018115,-2.284575,2.445122
1042000,1042,1.37,4.33,1.665,2.57,1.577523,1.572523,0.0,0.0,0.0,-2.389551,2.007248
1045000,1045,1.262,4.866,1.828,2.581,1.789095,1.811095,0.0,0.0,0.022895,-2.433,2.582028
1046000,1046,1.209,4.46,1.91,2.509,1.842404,1.932421,-0.000825,0.0,-0.073838,-2.221088,2.336598
1052000,1052,1.89,5.159,2.029,3.061,2.02,1.985,0.0,0.0,0.0,-2.691813,2.83553
1059000,1059,1.287,4.113,1.781,2.497,1.692,1.73376,0.0,0.0,0.0,-2.047292,2.162845
1060000,1060,1.476,4.415,1.796,2.624,1.77402,1.784,0.0,0.0,0.0,-2.246936,2.328003
1063000,1063,1.346,5.753,1.946,2.972,1.770897,1.759121,0.0,0.0,-0.189749,-2.871609,2.881391
1064000,1064,1.25,5.019,1.892,2.743,1.804525,1.804525,0.0,-0.03,0.0,-2.542423,2.490788
1069000,1069,1.244,4.476,1.928,2.685,1.919268,1.946201,0.0,0.0,0.055824,-2.229892,2.40734
1086000,1086,1.484,4.402,1.842,2.64,1.845155,1.874543,0.001262,0.0,0.03834,-2.220564,2.304163
1090000,1090,1.308,4.589,1.96,2.56,1.96054,1.96074,-0.000227,0.0,-0.114616,-2.200688,2.527187
1093000,1093,1.328,4.501,1.849,2.591,1.67,1.67,-8.8e-05,0.0,-0.1177,-2.277053,2.306302
1103000,1103,1.316,4.244,1.844,2.55,1.854192,1.86466,-1.2e-05,0.0,-0.011838,-2.088507,2.282165
1104000,1104,1.41,4.12,1.56,2.42,1.49701,1.49701,0.005474,0.0,-0.191278,-2.005605,2.061965
1105000,1105,1.346,4.572,1.676,2.489,1.53,1.53,-0.000237,0.0,-0.242823,-2.269694,2.391937
1108000,1108,1.321,3.998,1.763,2.53,1.750541,1.745541,0.0,0.0,0.003093,-1.957978,2.17114
1110000,1110,1.224,3.947,1.674,2.266,1.6016,1.6016,0.0,0.02,-0.042945,-1.969736,2.087581
1124000,1124,1.36,4.19,1.72,2.49,1.66,1.679007,0.0,0.0,-0.178991,-2.130703,2.08709
1126000,1126,1.468,4.864,1.847,2.888,1.81,1.8,0.0,0.0,0.0,-2.406253,2.624801
1130000,1130,1.197,4.509,1.908,2.67,1.879996,1.867731,0.0,0.0,0.16939,-2.254833,2.278573
1131000,1131,1.213,4.527,1.937,2.65,1.920266,1.915857,0.0,0.0,0.16993,-2.265112,2.400934
1150000,1150,1.32,3.97,1.58,2.35,1.512115,1.496909,0.0,0.0,-0.136903,-2.055115,2.145585
1155000,1155,1.18,4.15,1.72,2.286,1.600572,1.672501,0.0,0.0,-0.037,-2.200408,2.178021
1171000,1171,1.283,4.787,1.972,2.75,1.95,1.911,0.0,0.0,0.0,-2.410701,2.453217
1173000,1173,1.135,4.704,2.057,2.664,1.880037,2.029813,0.0,0.0,0.078463,-2.367987,2.404884
1175000,1175,1.141,4.886,2.014,2.785,1.91095,2.00299,0.0,0.0,0.0,-2.409462,2.457559
1184000,1184,1.456,4.928,1.889,2.846,1.87156,1.88256,0.0,0.0,0.0,-2.453819,2.601419
1200000,1200,1.195,4.47,1.984,2.65,1.929585,1.992485,0.0,0.0,0.0,-2.26962,2.242278
1204000,1204,1.435,4.299,1.848,2.639,1.846121,1.796992,-4.0e-06,0.0,3.3e-05,-2.103719,2.188798
1215000,1215,1.494,4.949,1.868,2.838,1.836,1.862,0.0,0.0,0.0,0.0,0.0
1216000,1216,1.402,4.302,1.794,2.578,1.794023,1.758023,0.0,0.0,-0.000242,-2.106102,2.341916
1220000,1220,1.342,4.198,1.842,2.468,1.810586,1.802064,-0.000548,0.0,0.04547,-2.098252,2.235458
1221000,1221,1.46,4.511,1.77,2.639,1.714794,1.714793,0.0,0.0,0.044122,-2.253359,2.253508
1229000,1229,0.978,4.563,1.956,2.79,1.91,1.92,0.0,0.0,0.0,-2.259983,2.417865
1231000,1231,1.501,4.213,1.786,2.578,1.77207,1.773249,-1.6e-05,0.0,0.05,-2.128984,2.111843
1253000,1253,1.14,4.36,1.91,2.54,1.84365,1.85951,0.0,0.0,0.0,-2.189882,2.304163
1260000,1260,1.22,4.505,1.895,2.605,1.858694,1.888623,0.0,0.0,-0.020759,-2.323161,2.345026
1269000,1269,1.41,4.22,1.62,2.5,1.550656,1.523974,0.0,0.0,-0.13334,-2.140641,2.110979
1270000,1270,1.14,4.267,1.988,2.408,1.815,1.85,0.0,0.0,-0.003,-2.140802,2.216701
1272000,1272,1.425,4.211,1.734,2.551,1.69905,1.698879,0.0,0.0,-0.064192,-2.103957,2.178222
1273000,1273,1.36,4.18,1.695,2.62,1.702058,1.702058,0.0,0.0,0.081005,-2.094108,2.227331
1276000,1276,1.257,4.999,1.864,2.748,1.811533,1.829925,0.0,-0.015,-0.079253,-2.4828,2.519622
1277000,1277,1.293,4.74,1.902,2.743,1.719311,1.719311,0.0,0.0,-0.203428,-2.206886,2.535498
1278000,1278,1.369,4.808,1.9,2.819,1.73358,1.75358,0.0,0.0,0.0,-2.437262,2.369396
1282000,1282,1.29,4.521,1.689,2.474,1.696697,1.696697,0.0,0.0,0.039772,-2.337819,2.31892
1291000,1291,1.372,5.26,1.923,2.946,1.767978,1.767978,0.0,0.0,-0.127677,-2.726562,2.549165
1293000,1293,1.377,4.458,1.727,2.608,1.646799,1.753255,0.0,0.0,-0.118428,-2.201767,2.256404
1294000,1294,1.524,4.584,1.732,2.75,1.707844,1.707844,0.0,0.0,-0.129897,-2.314112,2.397608
1296000,1296,1.342,4.43,1.72,2.665,1.698349,1.704349,0.0,0.0,-0.125575,-2.231003,2.318982
1299000,1299,1.43,4.878,1.71,2.65,1.635659,1.58066,9.9e-05,0.0,-0.234677,-2.316118,2.523916
1300000,1300,1.346,5.331,2.022,3.023,1.79871,1.73971,0.0,0.0,0.0,-2.846684,2.481884
1301000,1301,1.12,3.912,1.661,2.301,1.541665,1.48811,0.0,0.0,0.0,-1.980524,2.014764
1314000,1314,1.14,4.288,1.82,2.718,1.827313,1.814035,0.0,0.0,0.264072,-2.207132,2.157234
1323000,1323,1.471,4.58,1.796,2.624,1.799805,1.809805,0.0,0.0,1.2e-05,-2.288073,2.450092
1330000,1330,1.283,4.775,1.89,2.743,1.796529,1.763041,-0.000582,0.0,-0.04043,-2.408691,2.385101
1332000,1332,1.369,4.963,1.768,2.819,1.658973,1.700888,2.1e-05,0.0,-0.13982,-2.599755,2.39767
1335000,1335,1.003,4.782,1.994,2.66,1.887394,1.924139,-1.0e-06,0.01,-0.093991,-2.362172,2.407039
1350000,1350,1.763,4.851,1.994,2.934,1.95814,2.024809,0.0,0.0,-0.075561,-2.446935,2.593091
1352000,1352,1.389,5.314,1.951,2.972,1.806525,1.765976,0.0,0.0,0.0,-2.726403,2.645932
1355000,1355,1.298,4.613,1.732,2.743,1.665469,1.665469,0.0,0.0,0.0,-2.307269,2.299485
1367000,1367,1.438,4.783,1.801,2.83,1.765203,1.765203,0.0,0.0,-0.107621,-2.410518,2.411865
1368000,1368,1.4,4.62,1.699,2.624,1.651806,1.651806,0.0,0.0,0.0,-2.385069,2.316342
1369000,1369,1.141,4.435,2.055,2.73,1.901209,1.971206,0.0,0.0,0.0,-2.082732,2.43966
1376000,1376,1.201,3.726,1.702,2.301,1.627164,1.7032,0.0,0.0,0.0,-1.868304,2.017753
1379000,1379,1.389,5.438,1.969,2.944,1.87,1.87,0.0,0.0,0.0,-2.835332,2.56588
1381000,1381,1.41,4.56,1.694,2.601,1.69,1.67,0.0,0.0,0.0,-2.302206,2.399255
1382000,1382,1.359,4.511,1.689,2.581,1.66,1.664,0.0,0.0,-0.053818,-2.25956,2.28808
1388000,1388,1.456,4.91,1.89,2.964,1.876946,1.860127,0.0,0.0,0.000241,-2.60075,2.41501
1392000,1392,1.166,4.338,1.92,2.56,1.88068,1.88821,0.0,0.0,0.0,-2.168885,2.294776
1393000,1393,1.44,4.443,1.7,2.54,1.695,1.625,0.0,0.0,0.0,-2.125996,2.370052
1394000,1394,1.524,4.326,1.732,2.553,1.715,1.635,0.0,0.0,0.005,-2.027314,2.397608
1395000,1395,1.234,3.95,1.666,2.319,1.640239,1.641077,0.0,0.0,0.065276,-2.004449,1.980328
1397000,1397,1.12,4.293,1.996,2.662,1.958,1.961,0.0,0.0,0.040323,-2.123341,2.310895
1398000,1398,1.136,4.78,2.03,2.7,1.959,2.012,0.0,0.0,0.113393,-2.489581,2.479112
1417000,1417,1.366,4.649,1.86,2.751,1.81052,1.83806,0.001,0.0,-0.075148,-2.311545,2.412639
1418000,1418,1.392,4.72,1.751,2.761,1.726019,1.70714,0.0,0.0,0.0,-2.508851,2.297738
1426000,1426,1.341,4.46,1.77,2.703,1.72599,1.73099,0.0,0.0,0.0,-2.283435,2.302804
1428000,1428,1.394,4.248,1.82,2.578,1.77207,1.773249,-1.6e-05,0.0,0.092755,-2.127598,2.285002
1429000,1429,1.334,4.811,1.839,2.819,1.77175,1.746035,0.001839,0.0,-0.232401,-2.396441,2.391232
1435000,1435,1.5,4.07,1.54,2.4,1.47,1.453,0.0,0.0,-0.079621,-2.066097,1.980211
1459000,1459,1.486,5.029,1.88,2.921,1.716456,1.716456,0.0,0.0,0.0,-2.574587,2.573503
1477000,1477,1.85,4.863,1.974,2.933,1.984,1.999,0.0,0.0,-0.293905,-2.270872,2.884932
1478000,1478,1.344,4.24,1.86,2.224,1.82,1.82,0.0,0.0,0.07768,-2.286989,2.223082
1480000,1480,1.26,4.321,1.669,2.421,1.62,1.61,0.0,0.0,-0.105977,-2.089715,2.244989
1481000,1481,1.15,4.0,1.54,2.34,1.422,1.463,0.0,0.0,0.0,-2.035213,1.997091
1493000,1493,1.341,4.78,1.854,2.685,1.82,1.8,0.0,0.0,0.0,-2.430798,2.445517
1500000,1500,1.392,4.707,1.88,2.766,1.818337,1.820337,0.0,0.0,-0.057256,-2.413573,2.458583
1513000,1513,1.3,4.223,1.775,2.514,1.72954,1.75513,0.0,0.0,0.0,-2.124945,2.209484
1514000,1514,1.377,4.064,1.6,2.311,1.539155,1.53079,0.0,0.0,0.0,-2.043036,2.030506
1517000,1517,1.305,4.43,1.745,2.525,1.733398,1.7204,0.0,0.0,-0.000416,-2.169062,2.338653
1522000,1522,1.801,3.881,1.872,2.423,1.809695,1.829695,0.0,0.0,0.0,-2.238554,2.090235
1529000,1529,1.263,4.186,1.646,2.559,1.603256,1.491685,0.0,0.0,-0.068566,-2.156737,2.106009
1532000,1532,1.08,4.656,1.961,2.799,1.87722,1.94877,0.0,0.0,0.102711,-2.33473,2.358283
1533000,1533,1.325,4.509,1.704,2.586,1.64,1.635,0.0,0.0,0.0,0.0,0.0
1537000,1537,1.336,4.049,1.595,2.334,1.445,1.47,0.0,0.0,0.0,0.0,0.0
1549000,1549,0.991,3.97,1.709,2.35,1.587969,1.725728,0.0,0.0,0.081947,-2.054139,2.000906
1559000,1559,1.1,4.3,1.74,2.37,1.5211,1.56851,0.0,0.0,0.0,-2.14934,2.153072
1562000,1562,1.246,4.463,1.941,2.51,1.897073,1.906417,0.0,0.0,-0.069421,-2.245904,2.329588
1564000,1564,1.194,4.242,1.778,2.591,1.63011,1.6741,0.0,0.0,0.0,-2.146785,2.122116
1568000,1568,1.32,3.65,1.505,2.2,1.48,1.46,0.0,0.0,0.0,0.0,0.0
1575000,1575,1.394,5.141,1.824,2.743,1.745,1.715,0.0,0.0,0.0,0.0,0.0
1578000,1578,1.29,4.41,1.75,2.4,1.620982,1.615395,0.0,0.0,0.0,-2.207576,2.195775
1586000,1586,1.364,5.41,1.996,3.124,1.802,1.774,0.0,0.0,0.0,-2.731915,2.694903
1587000,1587,1.165,4.13,1.595,2.35,1.46,1.395321,-0.0015,0.0,0.0,-2.089579,2.072901
1591000,1591,1.354,3.82,1.7,2.54,1.62685,1.626851,0.0,0.0,0.0,-1.909079,2.020281
1598000,1598,1.387,4.645,1.804,2.76,1.785,1.78,0.0,0.0,-0.118672,-2.306468,2.384722
1599000,1599,1.283,4.787,1.972,2.75,1.95,1.911,0.0,0.0,0.0,-2.418659,2.479329
1601000,1601,1.184,4.386,1.9,2.56,1.867022,1.88,0.000207,0.0,0.16943,-2.232679,2.155062
1607000,1607,1.416,4.719,1.85,2.813,1.85151,1.82197,0.0,0.0,-0.007594,-2.43221,2.302464
1627000,1627,1.938,4.673,1.855,2.85,1.788771,1.788771,0.0,0.0,-0.116673,-2.369693,2.538206
1650000,1650,1.336,3.81,1.623,2.38,1.571,1.585,0.0,0.0,0.0,-1.917992,2.097016
1651000,1651,1.194,3.696,1.849,2.344,1.805,1.845,0.0,0.0,0.0,0.0,0.0
1654000,1654,1.41,4.775,1.877,2.72,1.837,1.873,0.0,0.0,0.0,0.0,0.0
1655000,1655,1.285,4.234,1.775,2.57,1.735,1.754,0.0,0.0,0.01892,-2.122885,2.238077
1658000,1658,1.417,4.358,1.78,2.699,1.757,1.761,0.0,0.0,0.0,0.0,0.0
1661000,1661,1.5,4.005,1.8,2.44,1.705,1.725,0.0,0.0,0.0,0.0,0.0
1662000,1662,1.354,3.068,1.41,2.032,1.345,1.32,0.0,0.0,0.0,0.0,0.0
1667000,1667,1.188,4.588,1.946,2.67,1.886,1.91,0.0,0.0,0.0,0.0,0.0
1668000,1668,1.28,4.76,1.824,2.743,1.736,1.736,0.0,0.0,0.0,0.0,0.0
2002000,2002,1.37,4.67,1.895,2.78,1.845,1.885,0.0,0.0,0.0,0.0,0.0
2003000,2003,1.393,3.774,1.683,2.467,1.665,1.665,0.0,0.0,0.042134,0.0,0.0
2004000,2004,1.255,3.995,1.72,2.329,1.701,1.701,0.0,0.0,0.0,0.0,0.0
2006000,2006,1.176,4.534,1.857,2.443,1.77,1.855,0.0,0.0,0.0,0.0,0.0
2007000,2007,1.285,4.24,1.775,2.57,1.735,1.754,0.0,0.0,0.01892,0.0,0.0
2009000,2009,1.419,5.012,1.911,2.915,1.88,1.885,0.0,0.0,0.0,0.0,0.0
2010000,2010,1.252,4.44,1.929,2.65,1.873,1.89,0.0,0.0,0.098766,0.0,0.0
2017000,2017,1.325,2.97,1.32,1.84,1.225,1.282,0.0,0.0,0.0,0.0,0.0
2019000,2019,1.46,4.183,1.975,2.615,1.73,1.75,0.0,0.0,0.0,0.0,0.0
2034000,2034,1.116,4.702,1.992,2.65,1.965,1.98,0.0,0.0,0.0,0.0,0.0
2038000,2038,1.184,3.989,1.864,2.38,1.81,1.805,0.0,0.0,0.0,0.0,0.0
2040000,2040,1.11,3.952,1.836,2.565,1.836,1.835,0.0,0.0,0.0,0.0,0.0
2042000,2042,1.172,5.02,2.075,2.7,1.995,2.049,0.0,0.0,0.0,0.0,0.0
2119000,2119,1.29,3.675,1.623,2.2,1.605,1.62,0.0,0.0,0.0,0.0,0.0
2121000,2121,1.29,4.44,1.765,2.55,1.729,1.719,0.0,0.0,0.0,0.0,0.0
2128000,2128,1.509,6.909,1.852,4.615,1.837,1.843,0.0,0.0,0.0,0.0,0.0
2131000,2131,1.457,4.988,1.899,2.915,1.85,1.865,0.0,0.0,0.0,0.0,0.0
2133000,2133,1.293,4.689,1.943,2.799,1.859,1.92,0.0,0.0,0.0,0.0,0.0
2140000,2140,1.43,4.425,1.636,2.456,1.48,1.455,0.0,0.0,0.0,0.0,0.0
2142000,2142,1.436,4.276,1.799,2.63,1.762,1.707,0.0,0.0,0.0,0.0,0.0
2145000,2145,1.997,4.622,2.0,2.9,2.062,2.044,0.0,0.0,0.0,0.0,0.0
2147000,2147,1.5,3.35,1.88,2.391,1.765,1.835,0.0,0.0,0.0,0.0,0.0
2148000,2148,1.966,4.333,1.998,2.9,1.981,1.981,0.0,0.0,0.0,0.0,0.0
2149000,2149,1.365,3.712,1.641,2.472,1.587,1.536,0.0,0.0,0.0,0.0,0.0
2151000,2151,1.941,4.3,1.801,2.4,1.539,1.524,0.0,0.0,0.0,0.0,0.0
2154000,2154,1.383,4.671,1.87,2.812,1.825,1.84,0.0,0.0,0.0,0.0,0.0
2161000,2161,1.02,3.68,1.6,2.2,1.495,1.525,0.0,0.0,0.0,0.0,0.0
2163000,2163,1.605,4.39,1.878,2.594,1.85,1.771,0.0,0.0,0.0,0.0,0.0
2164000,2164,1.165,4.459,1.924,2.62,1.895,1.925,0.0,0.0,0.012,0.0,0.0
2168000,2168,1.476,4.595,1.796,2.649,1.769,1.757,0.0,0.0,0.0,0.0,0.0
2171000,2171,1.219,3.955,1.679,2.266,1.659,1.645,0.0,0.0,0.0,0.0,0.0
2175000,2175,1.39,4.705,1.845,2.73,1.81,1.835,0.0,0.0,0.0,0.0,0.0
2177000,2177,1.151,4.493,1.928,2.71,1.914,1.901,0.0,0.0,0.0,0.0,0.0
2178000,2178,1.386,4.525,1.799,2.607,1.795,1.753,0.0,0.0,0.0,0.0,0.0
2179000,2179,1.417,3.975,1.74,2.469,1.699,1.677,0.0,0.0,0.0,0.0,0.0
2180000,2180,1.461,4.979,1.936,2.915,1.937,1.9,0.0,0.0,0.0,0.0,0.0
2183000,2183,1.33,4.884,1.953,2.852,1.985,1.947,0.0,0.0,0.0,0.0,0.0
2184000,2184,1.203,4.571,1.951,2.65,1.924,1.937,0.0,0.0,0.16993,0.0,0.0
